questionText,trlLevel,technologyType,category,toolTip
Concept development completed or Prior Search Conducted,1,Agri-Aqua Device and Diagnostic Kits,Technology Status,
Potential users or target beneficiaries identified,1,Agri-Aqua Device and Diagnostic Kits,Market and Commercialization Status,
Initial prototype of device or diagnostic kit created,2,Agri-Aqua Device and Diagnostic Kits,,
First prototype or kit tested for basic functions,2,Agri-Aqua Device and Diagnostic Kits,,
Preliminary assessment of user requirements and operational feasibility,2,Agri-Aqua Device and Diagnostic Kits,,
"Working prototype/device refined for usability, accuracy, and/or portability",3,Agri-Aqua Device and Diagnostic Kits,,
"Tested for sensitivity, specificity, or measurement accuracy under lab conditions",3,Agri-Aqua Device and Diagnostic Kits,,
Proof of Potential Economic Viability,3,Agri-Aqua Device and Diagnostic Kits,,
Intellectual Property (IP) Protection Initiated,3,Agri-Aqua Device and Diagnostic Kits,,
Device/kit validated with positive result under laboratory or controlled field conditions,4,Agri-Aqua Device and Diagnostic Kits,,
"Analytical performance confirmed (detection limits, repeatability, or reliability)",4,Agri-Aqua Device and Diagnostic Kits,,
Intellectual Property (IP) Protection filed,4,Agri-Aqua Device and Diagnostic Kits,,
Accomplished Initial Business Model Canvas (BMC),4,Agri-Aqua Device and Diagnostic Kits,Market and Commercialization Status,
Freedom to Operate (FTO) Report Prepared,4,Agri-Aqua Device and Diagnostic Kits,,
Market Research conducted,4,Agri-Aqua Device and Diagnostic Kits,Market and Commercialization Status,
Identified Potential industry Partner for Industry Testing,4,Agri-Aqua Device and Diagnostic Kits,,
Device/kit tested under pilot-scale or semi-field conditions,5,Agri-Aqua Device and Diagnostic Kits,,
User Manual for device/kit established,5,Agri-Aqua Device and Diagnostic Kits,,
Product promotion Conducted,5,Agri-Aqua Device and Diagnostic Kits,,
Meetings with potential industry partners,5,Agri-Aqua Device and Diagnostic Kits,,
Agreements with industry parters for product testing secured,6,Agri-Aqua Device and Diagnostic Kits,,
Device performance tested in multiple locations,6,Agri-Aqua Device and Diagnostic Kits,,
Production/assembly manual established for scalable manufacturing,6,Agri-Aqua Device and Diagnostic Kits,,
Technology Commercialization Plan prepared,6,Agri-Aqua Device and Diagnostic Kits,,
IP Valuation Report Prepared,6,Agri-Aqua Device and Diagnostic Kits,,
Successful industry validation and replication of device/kit,7,Agri-Aqua Device and Diagnostic Kits,,
Standardized protocol/manual for industry-scale production/assembly of device/kit,7,Agri-Aqua Device and Diagnostic Kits,,
Secure Letter of Intent for Licensing,7,Agri-Aqua Device and Diagnostic Kits,,
Technology Licensing Terms Undergoing Negotiation,7,Agri-Aqua Device and Diagnostic Kits,,
Business Plan crafted,7,Agri-Aqua Device and Diagnostic Kits,Market and Commercialization Status,
Processing of Requirements for Bureau of Animal Industry (BAI) or Bureau of Fisheries and Aquatic Resources (BFAR) or third-party Validation,7,Agri-Aqua Device and Diagnostic Kits,,
Device/kit ready for commercial-scale production (replicable without error),8,Agri-Aqua Device and Diagnostic Kits,,
BAI/BFAR/Third-party Validated,8,Agri-Aqua Device and Diagnostic Kits,,
Technology Licensing Terms Negotiated,8,Agri-Aqua Device and Diagnostic Kits,,
Fairness Opinion Review requested,8,Agri-Aqua Device and Diagnostic Kits,Market and Commercialization Status,
Technology Licensing Agreement signed,9,Agri-Aqua Device and Diagnostic Kits,Industry Adoption Status,
Technology fully commercialized/Device or kit commercially available to target users,9,Agri-Aqua Device and Diagnostic Kits,Market and Commercialization Status,
Concept development completed or Prior Search Conducted,1,Agri-Aqua Machinery and Facility,Technology Status,
Potential users or target beneficiaries identified,1,Agri-Aqua Machinery and Facility,Market and Commercialization Status,
Blueprint or design of the machine/facility completed,2,Agri-Aqua Machinery and Facility,,
First prototype created,2,Agri-Aqua Machinery and Facility,Technology Status,
Initial assessment on the potential user,2,Agri-Aqua Machinery and Facility,Market and Commercialization Status,
Working prototype created,3,Agri-Aqua Machinery and Facility,,
Prototype tested for basic operational capability,3,Agri-Aqua Machinery and Facility,,
Proof of Potential Economic Viability,3,Agri-Aqua Machinery and Facility,,
Intellectual Property (IP) Protection Initiated,3,Agri-Aqua Machinery and Facility,,
Successfully operated under laboratory-scale or controlled conditions,4,Agri-Aqua Machinery and Facility,,
Intellectual Property (IP) Protection filed,4,Agri-Aqua Machinery and Facility,,
Accomplished Initial Business Model Canvas (BMC),4,Agri-Aqua Machinery and Facility,Market and Commercialization Status,
Freedom to Operate (FTO) Report Prepared,4,Agri-Aqua Machinery and Facility,,
Market Research conducted,4,Agri-Aqua Machinery and Facility,Market and Commercialization Status,
Identified Potential industry Partner for Industry Testing,4,Agri-Aqua Machinery and Facility,,
Machine/Facility stable during pilot-scale operation,5,Agri-Aqua Machinery and Facility,,
Manual of operation established,5,Agri-Aqua Machinery and Facility,,
Product promotion Conducted,5,Agri-Aqua Machinery and Facility,,
Meetings with potential industry partners,5,Agri-Aqua Machinery and Facility,,
Agreements with industry parters for product testing secured,6,Agri-Aqua Machinery and Facility,,
Multi-location testing conducted,6,Agri-Aqua Machinery and Facility,,
Production or fabrication manual established,6,Agri-Aqua Machinery and Facility,,
Preparing Requirements for Agricultural Machinery Testing and Evaluation Center (AMTEC) Certification,6,Agri-Aqua Machinery and Facility,,
Technology Commercialization Plan prepared,6,Agri-Aqua Machinery and Facility,,
IP Valuation Report Prepared,6,Agri-Aqua Machinery and Facility,,
Successful industry testing and validation,7,Agri-Aqua Machinery and Facility,,
First replication achieved,7,Agri-Aqua Machinery and Facility,,
Secure Letter of Intent for Licensing,7,Agri-Aqua Machinery and Facility,,
Technology Licensing Terms Undergoing Negotiation,7,Agri-Aqua Machinery and Facility,,
Business Plan crafted,7,Agri-Aqua Machinery and Facility,Market and Commercialization Status,
Ready for commercial-scale production (replicable/ operational without error),8,Agri-Aqua Machinery and Facility,,
AMTEC Certification Secured,8,Agri-Aqua Machinery and Facility,,
Technology Licensing Terms Negotiated,8,Agri-Aqua Machinery and Facility,,
Fairness Opinion Review requested,8,Agri-Aqua Machinery and Facility,Market and Commercialization Status,
Technology Licensing Agreement signed,9,Agri-Aqua Machinery and Facility,Industry Adoption Status,
Technology fully commercialized/Machine or facility commercially available to target users,9,Agri-Aqua Machinery and Facility,,
Concept Development Completed,1,Animal Biotechnology,Technology Status,
Potential end-users and target markets identified,1,Animal Biotechnology,Market and Commercialization Status,
Initial Experiments Conducted in Laboratory,2,Animal Biotechnology,,
DNA Sequence Identification/Profiling Conducted,2,Animal Biotechnology,,
Genetic Analytical Protocol Established,2,Animal Biotechnology,,
Preliminary Assessment of Potential User,2,Animal Biotechnology,,
Genetic Profiling Validated,3,Animal Biotechnology,,
Proof of Potential Economic Viability,3,Animal Biotechnology,,
Concept development completed or Prior Search Conducted,1,"Animal Feed, Feed Ingredients and Animal Nutrition",,
Potential users or target beneficiaries identified,1,"Animal Feed, Feed Ingredients and Animal Nutrition",,
Initial experiments conducted in laboratory (benchscale),2,"Animal Feed, Feed Ingredients and Animal Nutrition",,
Initial formulation created,2,"Animal Feed, Feed Ingredients and Animal Nutrition",,
Initial assessment on the potential user,2,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status,
Feeding Trial Experiments with Target Animals,3,"Animal Feed, Feed Ingredients and Animal Nutrition",,
Formulation optimized based on initial results of feeding trial (check if not applicable),3,"Animal Feed, Feed Ingredients and Animal Nutrition",,
Proximate Analysis Conducted,3,"Animal Feed, Feed Ingredients and Animal Nutrition",,
Proof of Potential Economic Viability,3,"Animal Feed, Feed Ingredients and Animal Nutrition",,
Intellectual Property (IP) Protection Initiated,3,"Animal Feed, Feed Ingredients and Animal Nutrition",,
Proximate analysis confirms nutritional adequacy,4,"Animal Feed, Feed Ingredients and Animal Nutrition",,
Passed Toxicity Evaluation,4,"Animal Feed, Feed Ingredients and Animal Nutrition",,
Established Storage Stability,4,"Animal Feed, Feed Ingredients and Animal Nutrition",,
Intellectual Property (IP) Protection filed,4,"Animal Feed, Feed Ingredients and Animal Nutrition",,
Accomplished Initial Business Model Canvas (BMC),4,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status,
Freedom to Operate (FTO) Report Prepared,4,"Animal Feed, Feed Ingredients and Animal Nutrition",,
Market Research conducted,4,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status,
Identified Potential industry Partner for Industry Testing,4,"Animal Feed, Feed Ingredients and Animal Nutrition",,
Product formulation for scaled-up pilot production,5,"Animal Feed, Feed Ingredients and Animal Nutrition",,
Pilot scale-based Manual of Production created,5,"Animal Feed, Feed Ingredients and Animal Nutrition",,
Product promotion and packaging conducted,5,"Animal Feed, Feed Ingredients and Animal Nutrition",,
Meetings with potential industry partners,5,"Animal Feed, Feed Ingredients and Animal Nutrition",,
Product tested for scaled-up pilot production,6,"Animal Feed, Feed Ingredients and Animal Nutrition",,
Agreements with industry parters for product testing secured,6,"Animal Feed, Feed Ingredients and Animal Nutrition",,
First industry-scale production completed,6,"Animal Feed, Feed Ingredients and Animal Nutrition",,
"Initial market tests conducted (trade shows, limited release)",6,"Animal Feed, Feed Ingredients and Animal Nutrition",,
Technology Commercialization Plan prepared,6,"Animal Feed, Feed Ingredients and Animal Nutrition",,
IP Valuation Report Prepared,6,"Animal Feed, Feed Ingredients and Animal Nutrition",,
Successful validation of industry-scale production,7,"Animal Feed, Feed Ingredients and Animal Nutrition",,
Standardized manual for industry-scale production established,7,"Animal Feed, Feed Ingredients and Animal Nutrition",,
Secure Letter of Intent for Licensing,7,"Animal Feed, Feed Ingredients and Animal Nutrition",,
Technology Licensing Terms Undergoing Negotiation,7,"Animal Feed, Feed Ingredients and Animal Nutrition",,
Business Plan crafted,7,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status,
Processing of Requirements for Bureau of Animal Industry (BAI) or Food and Drug Administration (FDA) Approval/Certification,7,"Animal Feed, Feed Ingredients and Animal Nutrition",,
Product ready for full-scale commercial production (replicable without error),8,"Animal Feed, Feed Ingredients and Animal Nutrition",,
BAI/FDA Approval or Certification Obtained,8,"Animal Feed, Feed Ingredients and Animal Nutrition",,
Technology Licensing Terms Negotiated,8,"Animal Feed, Feed Ingredients and Animal Nutrition",,
Fairness Opinion Review requested,8,"Animal Feed, Feed Ingredients and Animal Nutrition",Market and Commercialization Status,
Technology Licensing Agreement signed,9,"Animal Feed, Feed Ingredients and Animal Nutrition",Industry Adoption Status,
Technology fully commercialized/Product commercially available to target users,9,"Animal Feed, Feed Ingredients and Animal Nutrition",,
Concept development completed or Prior Search Conducted,1,Fertilizer and Pesticide (including Organic and Bio-based Products),Technology Status,
Potential users or target beneficiaries identified,1,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
Initial experiments conducted in laboratory (benchscale),2,Fertilizer and Pesticide (including Organic and Bio-based Products),,
First formulation created,2,Fertilizer and Pesticide (including Organic and Bio-based Products),,
Initial assessment on the potential user,2,Fertilizer and Pesticide (including Organic and Bio-based Products),Market and Commercialization Status,
