questionText,trlLevel,technologyType,category,toolTip
Concept development completed or Prior Search Conducted,1,Agri-Aqua Machinery and Facility,Technology Status,
Potential user identified ,1,Agri-Aqua Machinery and Facility,Market and Commercialization Status,"Already identified who will benefit or who will use the developed technology (farmers, aquaculture operators, extension workers, laboratories, etc.)"
Initial assessment on the potential user,2,Agri-Aqua Machinery and Facility,Market and Commercialization Status,
Blueprint or design of the machine/facility completed,2,Agri-Aqua Machinery and Facility,Technology Status,
First prototype created,2,Agri-Aqua Machinery and Facility,Technology Status,
Working prototype created ,3,Agri-Aqua Machinery and Facility,Technology Status,
Initial Business Model Canvas (BMC) developed,3,Agri-Aqua Machinery and Facility,Market and Commercialization Status,
Prototype tested for basic operational capability,3,Agri-Aqua Machinery and Facility,Technology Status,
Meeting with potential industry partner,4,Agri-Aqua Machinery and Facility,Industry Adoption Status,
Successfully operated under laboratory-scale or controlled conditions,4,Agri-Aqua Machinery and Facility,Technology Status,
Market Research is conducted,4,Agri-Aqua Machinery and Facility,Market and Commercialization Status,
Demonstration tests conducted in trade fairs or pilot sites,5,Agri-Aqua Machinery and Facility,Market and Commercialization Status,
BMC is enhanced based on result of Market Research,5,Agri-Aqua Machinery and Facility,Market and Commercialization Status,
Machine/Facility is stable during pilot-scale operation,5,Agri-Aqua Machinery and Facility,Technology Status,
Agreements with industry parters for product testing secured,5,Agri-Aqua Machinery and Facility,Industry Adoption Status,
Manual of operation established,6,Agri-Aqua Machinery and Facility,Technology Status,
Negotiated for the Technology Licensing Terms and Conditions,6,Agri-Aqua Machinery and Facility,Industry Adoption Status,
IP Valuation is conducted,6,Agri-Aqua Machinery and Facility,Market and Commercialization Status,
Production or fabrication manual established,6,Agri-Aqua Machinery and Facility,Technology Status,
Business Plan is crafted,6,Agri-Aqua Machinery and Facility,Market and Commercialization Status,
Multi-location testing conducted,6,Agri-Aqua Machinery and Facility,Technology Status,
First replication of the machine,7,Agri-Aqua Machinery and Facility,Technology Status,
Successful industry testing and validation,7,Agri-Aqua Machinery and Facility,Technology Status,
Processing of documents for industry and government compliance,7,Agri-Aqua Machinery and Facility,Market and Commercialization Status,
