,"Food, Food Ingredients and Beverages","Animal Feed, Feed Ingredients and Animal Nutrition",Fertilizer and Pesticide (including Organic and Bio-based Products),Agri-Aqua Machinery and Facility,Agri-Aqua Device and Diagnostic Kits,ICT (Apps and System involving IoT),New Plant Variety (Conventional),New Plant Variety (Gene-Edited and GM),New Animal Breed (Aquatic and Terrestrial),Animal Biotechnology,Natural Resource–Derived Materials
TRL 1,Concept development completed or Prior Search Conducted,Concept development completed or Prior Search Conducted,Concept development completed or Prior Search Conducted,Concept development completed or Prior Search Conducted,Concept development completed or Prior Search Conducted,Concept development completed or Prior Search Conducted,Concept Development or Breeding objectives identified,Concept Development or Breeding objectives identified,Concept Development or Breeding objectives identified,Concept Development Completed,Material concept identified from AANR resource
,Potential users or target beneficiaries identified,Potential users or target beneficiaries identified,Potential users or target beneficiaries identified,Potential users or target beneficiaries identified,Potential users or target beneficiaries identified,Potential users or target beneficiaries identified,Potential end-users and target markets identified,Potential end-users and target markets identified,Potential end-users and target markets identified,Potential end-users and target markets identified,Potential material properties identified
,,,,,,,,Bioinformatic Analysis of Gene Function/In-silico Studies Conducted,,,
TRL 2,Initial experiments conducted in laboratory (benchscale),Initial experiments conducted in laboratory (benchscale),Initial experiments conducted in laboratory (benchscale),Blueprint or design of the machine/facility completed,Initial prototype of device or diagnostic kit created,System design formulated,Germplasm Collected,Germplasm Collected,Parent animals with desirable traits Selected,Initial Experiments Conducted in Laboratory,Material formulation or composition defined
,First prototype/formulation created for sensory analysis,Initial formulation created,First formulation created,First prototype created,First prototype or kit tested for basic functions,Initial coding completed,"Plant genetics, traits, and breeding foundation reviewed",Marker Developed/Gene Identified,"Genetics, Lineage, and Breeding Foundation Reviewed",DNA Sequence Identification/Profiling Conducted,"Intended application identified (e.g., construction, packaging, handicrafts)"
,Internal/preliminary sensory screening conducted,Initial assessment on the potential user,Initial assessment on the potential user,Initial assessment on the potential user,Preliminary assessment of user requirements and operational feasibility,Initial assessment of potential user requirements and usability,Target traits clearly identified,"Molecular Construct Planned (CRISPR, RNAi)",Target Traits for Improvement Identified,Genetic Analytical Protocol Established,Initial laboratory scale processing method proposed
,Initial assessment on the potential user,,,,,,Breeding Planned Prepared,"Preliminary market requirements considered (relevance, consumer/end-user needs)",Preliminary assessment of market demand for target traits,Preliminary Assessment of Potential User,
,,,,,,,"Preliminary market requirements considered (trait relevance, consumer/end-user needs)",,,,
TRL 3,Optimized formulation for highest sensory acceptability,Feeding Trial Experiments with Target Animals,"Formulated product initially tested under laboratory conditions (efficacy, stability, compatibility)",Working prototype created,"Working prototype/device refined for usability, accuracy, and/or portability",Source code completed,Initial crosses or mutation events conducted,Genetic Modification Designs Developed (CRISPR/RNAi Constructs),"Initial crosses, selective breeding, or genetic modification conducted",Genetic Profiling Validated,Laboratory-scale sample produced
,Proximate analysis conducted to assess chemical properties,Formulation optimized based on initial results of feeding trial (check if not applicable),Formulation optimized based on initial animal response,Prototype tested for basic operational capability,"Tested for sensitivity, specificity, or measurement accuracy under lab conditions",Working system/application developed (integrated prototype),Progeny produced and screened for presence of target traits,Transformation or Gene Editing in Laboratory or Growth Chamber Conducted,Progeny produced and screened for presence of target traits,Proof of Potential Economic Viability,"Preliminary testing conducted (e.g., tensile strength, density, absorption)"
,Proof of Potential Economic Viability,Proximate Analysis Conducted,Toxicity Test Conducted,Proof of Potential Economic Viability,Proof of Potential Economic Viability,Proof of Potential Economic Viability,Proof of Potential Economic Viability,Controlled Enviroinmental Studies (please specify),Breeding Events Documented,,Proof of Potential Economic Viability
,,,,,,,,,,,Intellectual Property (IP) Protection Initiated
,Intellectual Property (IP) Protection Initiated,Proof of Potential Economic Viability,Proof of Potential Economic Viability,Intellectual Property (IP) Protection Initiated,Intellectual Property (IP) Protection Initiated,Intellectual Property (IP) Protection Initiated,,Institutional Biosafety Committee (IBC) Approval Initiated,Proof of Potential Economic Viability,,
,,Intellectual Property (IP) Protection Initiated,Intellectual Property (IP) Protection Initiated,,,,,Proof of Potential Economic Viability,,,
TRL 4,Product validated through target consumer sensory testing,Proximate analysis confirms nutritional adequacy,Positive experimental results on product efficacy under controlled conditions,Successfully operated under laboratory-scale or controlled conditions,Device/kit validated with positive result under laboratory or controlled field conditions,Alpha testing successfully conducted,Progeny successfully grown under controlled conditions (greenhouse/screenhouse),Edited/Modified Plant Regenerated,"Progeny raised under controlled conditions (hatchery, nursery, farm, or experimental facility)",,Repeatable laboratory-scale production achieved
,Positive proximate analysis confirmed,"Passed Toxicity Evaluation
",Passed Toxicity Evaluation,Intellectual Property (IP) Protection filed,"Analytical performance confirmed (detection limits, repeatability, or reliability)",Intellectual Property (IP) Protection filed,Target traits confirmed in progeny,"Target Traits Confirmed via Sequencing, PCR, or Marker Analysis","Target traits confirmed in progeny (growth, disease resistance, environmental tolerance)",,"Standard laboratory tests completed (e.g., ASTM/ISO-aligned methods)"
,Shelf-life established at least under laboratory conditions,Established Storage Stability,Shelf stability established,Accomplished Initial Business Model Canvas (BMC),Intellectual Property (IP) Protection filed,Accomplished Initial Business Model Canvas (BMC),Early-stage feedback from potential seed users,Preliminary Phenotyping under Greenhouse Conducted,Early-stage engagement with potential end-users for feedback,,Intellectual Property (IP) Protection filed
,Allergen profiling/screening conducted,Intellectual Property (IP) Protection filed,Intellectual Property (IP) Protection filed,Freedom to Operate (FTO) Report Prepared,Accomplished Initial Business Model Canvas (BMC),Freedom to Operate (FTO) Report Prepared,Identified Potential industry Partner for Industry Testing,Identified Potential industry Partner for Industry Testing,Identified Potential industry Partner for Industry Testing,,Accomplished Initial Business Model Canvas (BMC)
